TRACTFIPS,COUNTY,TotalPop_Sum,YEAR,COUNTYFIPS,STATEFIPS,STATE,AvgHHsize,MedianAge,PercentUnder1.37Poverty,PopWithMedicaid/Means-Tested,PublicTransit,UninsuredPop,IncomePerCapita,TotalHouseholds,TotalPop,DistanceER,DistanceMedSurg/ICU,DistanceTrauma,DistanceClinic,DistanceRehab
02013000100,Aleutians East Borough,3364,2020,02013,02,Alaska,2.38,44.1,19.56,13.36,0.15,39.75,36973,988,3364,361.11,487.03,428.86,55.01,361.11
02020000101,Anchorage Municipality,288241,2020,02020,02,Alaska,2.95,38.5,6.08,7.18,0.51,9.53,48660,1918,5611,11.53,11.53,11.53,11.81,19.28
02020000102,Anchorage Municipality,288241,2020,02020,02,Alaska,2.8,37,12.49,8.81,0.09,7.11,39463,1699,4720,15.04,15.04,15.04,13.85,15.57
02020000201,Anchorage Municipality,288241,2020,02020,02,Alaska,2.57,28.3,14.04,7.7,0.0,10.87,36108,1817,4617,11.68,11.91,12.82,10.93,11.68
02020000202,Anchorage Municipality,288241,2020,02020,02,Alaska,2.66,39.3,9.03,5.93,0.71,10.14,44378,2533,6708,11.74,12.03,12.78,11.09,11.74
02020000204,Anchorage Municipality,288241,2020,02020,02,Alaska,2.61,42,5.59,4.65,0.0,5.53,55489,1209,3544,13.16,13.63,13.63,12.96,13.16
02020000205,Anchorage Municipality,288241,2020,02020,02,Alaska,2.95,31.9,2.62,2.41,0.52,2.59,44336,2497,7252,11.69,12.06,12.54,11.21,11.69
02020000206,Anchorage Municipality,288241,2020,02020,02,Alaska,3.19,39.4,5.38,9.75,0.0,1.81,55581,1038,3268,12.38,12.72,13.27,11.84,12.38
02020000500,Anchorage Municipality,288241,2020,02020,02,Alaska,2.07,31.3,31.11,22.98,19.27,17.79,32472,985,2022,1.82,1.87,3.94,1.19,2.5
02020000601,Anchorage Municipality,288241,2020,02020,02,Alaska,2.67,26.2,50.7,59.86,8.67,7.72,19122,1513,4125,1.2,1.2,3.16,0.22,1.47
02020000602,Anchorage Municipality,288241,2020,02020,02,Alaska,3.4,30.5,48.83,45.45,1.63,11.5,12938,997,3449,1.5,1.51,3.14,0.56,1.5
02020000701,Anchorage Municipality,288241,2020,02020,02,Alaska,2.99,28.4,19.87,31.83,3.6,9.85,34701,2265,6634,1.54,2.04,2.63,1.68,1.54
02020000702,Anchorage Municipality,288241,2020,02020,02,Alaska,2.74,28,20.28,37.47,0.41,7.11,26441,2317,6356,2.31,2.82,3.18,2.37,2.31
