YEAR,TRACTFIPS,COUNTYFIPS,STATEFIPS,STATE,COUNTY,ACS_AVG_HH_SIZE,ACS_MEDIAN_AGE,ACS_PCT_HEALTH_INC_BELOW137,ACS_PCT_MEDICAID_ANY,ACS_PCT_PUBL_TRANSIT,ACS_PCT_UNINSURED,ACS_PER_CAPITA_INC,ACS_TOT_HH,ACS_TOT_POP_US_ABOVE1,POS_DIST_ED_TRACT,POS_DIST_MEDSURG_ICU_TRACT,POS_DIST_TRAUMA_TRACT,POS_DIST_CLINIC_TRACT,POS_DIST_ALC_TRACT
2020,02013000100,02013,02,Alaska,Aleutians East Borough,2.38,44.1,19.56,13.36,0.15,39.75,36973,988,3364,361.11,487.03,428.86,55.01,361.11
2020,02016000100,02016,02,Alaska,Aleutians West Census Area,3.4,40.9,27.12,33.84,2.62,33.01,44092,199,942,,,,262.76,
2020,02016000200,02016,02,Alaska,Aleutians West Census Area,3.44,39.5,7.39,5.1,0.29,14.8,44179,1107,4732,468.73,,,4.47,468.73
2020,02020000101,02020,02,Alaska,Anchorage Municipality,2.95,38.5,6.08,7.18,0.51,9.53,48660,1918,5611,11.53,11.53,11.53,11.81,19.28
2020,02020000102,02020,02,Alaska,Anchorage Municipality,2.8,37,12.49,8.81,0.09,7.11,39463,1699,4720,15.04,15.04,15.04,13.85,15.57
2020,02020000201,02020,02,Alaska,Anchorage Municipality,2.57,28.3,14.04,7.7,0,10.87,36108,1817,4617,11.68,11.91,12.82,10.93,11.68
2020,02020000202,02020,02,Alaska,Anchorage Municipality,2.66,39.3,9.03,5.93,0.71,10.14,44378,2533,6708,11.74,12.03,12.78,11.09,11.74
2020,02020000204,02020,02,Alaska,Anchorage Municipality,2.61,42,5.59,4.65,0,5.53,55489,1209,3544,13.16,13.63,13.63,12.96,13.16
2020,02020000205,02020,02,Alaska,Anchorage Municipality,2.95,31.9,2.62,2.41,0.52,2.59,44336,2497,7252,11.69,12.06,12.54,11.21,11.69
2020,02020000206,02020,02,Alaska,Anchorage Municipality,3.19,39.4,5.38,9.75,0,1.81,55581,1038,3268,12.38,12.72,13.27,11.84,12.38
2020,02020000500,02020,02,Alaska,Anchorage Municipality,2.07,31.3,31.11,22.98,19.27,17.79,32472,985,2022,1.82,1.87,3.94,1.19,2.5
2020,02020000601,02020,02,Alaska,Anchorage Municipality,2.67,26.2,50.7,59.86,8.67,7.72,19122,1513,4125,1.2,1.2,3.16,0.22,1.47
2020,02020000602,02020,02,Alaska,Anchorage Municipality,3.4,30.5,48.83,45.45,1.63,11.5,12938,997,3449,1.5,1.51,3.14,0.56,1.5
2020,02020000701,02020,02,Alaska,Anchorage Municipality,2.99,28.4,19.87,31.83,3.6,9.85,34701,2265,6634,1.54,2.04,2.63,1.68,1.54
2020,02020000702,02020,02,Alaska,Anchorage Municipality,2.74,28,20.28,37.47,0.41,7.11,26441,2317,6356,2.31,2.82,3.18,2.37,2.31
2020,02020000703,02020,02,Alaska,Anchorage Municipality,2.79,29.9,26.21,28.72,7.71,13.72,27540,1994,5701,2.88,3.42,3.52,3.02,2.88
2020,02020000801,02020,02,Alaska,Anchorage Municipality,3.38,28.1,21.23,34.88,3,16.38,22250,2349,7807,0.94,1.21,2.49,0.81,0.94
2020,02020000802,02020,02,Alaska,Anchorage Municipality,2.69,29.6,19.39,21.75,0,18.77,31812,1698,4475,0.56,1.23,1.42,1.68,0.56
2020,02020000901,02020,02,Alaska,Anchorage Municipality,2.93,30.1,36.48,49.31,3.92,13.34,17822,1520,5102,0.53,0.63,2.65,0.53,1.3
